Time	LH_RectusFemoris	LH_RectusFemoris	
4.66938	0.04611578	0.002131694	
4.66992	0.04611693	0.002117896	
4.67046	0.04611807	0.002110998	
4.671	0.04611921	0.002117896	
4.67154	0.04612034	0.0020972	
4.67208	0.04612148	0.002104099	
4.67262	0.04612261	0.002104099	
4.67316	0.04612374	0.002090302	
4.6737	0.04612487	0.002090302	
4.67424	0.046126	0.002083403	
4.67478	0.04612712	0.002083403	
4.67532	0.04612824	0.002069606	
4.67586	0.04612936	0.002069606	
4.6764	0.04613047	0.002069606	
4.67694	0.04613159	0.002069606	
4.67748	0.04613271	0.002062707	
4.67802	0.04613381	0.002048909	
4.67856	0.04613492	0.002048909	
4.6791	0.04613603	0.002055808	
4.67964	0.04613713	0.002042011	
4.68018	0.04613823	0.002028214	
4.68072	0.04613933	0.002035112	
4.68126	0.04614042	0.002028214	
4.6818	0.04614152	0.002028214	
4.68234	0.04614261	0.002021315	
4.68288	0.0461437	0.002021315	
4.68342	0.04614479	0.002021315	
4.68396	0.04614587	0.00199372	
4.6845	0.04614696	0.002021315	
4.68504	0.04614804	0.002000619	
4.68558	0.04614912	0.00199372	
4.68612	0.04615019	0.001986821	
4.68666	0.04615126	0.001986821	
4.6872	0.04615233	0.001986821	
4.68774	0.04615341	0.001986821	
4.68828	0.04615447	0.001966125	
4.68882	0.04615554	0.001979923	
4.68936	0.0461566	0.001966125	
4.6899	0.04615766	0.001959227	
4.69044	0.04615872	0.001973024	
4.69098	0.04615977	0.001938531	
4.69152	0.04616083	0.001959227	
4.69206	0.04616188	0.001945429	
4.6926	0.04616293	0.001945429	
4.69314	0.04616398	0.001938531	
4.69368	0.04616502	0.001938531	
4.69422	0.04616606	0.001924733	
4.69476	0.04616711	0.001931632	
4.6953	0.04616814	0.001924733	
4.69584	0.04616918	0.001917835	
4.69638	0.04617022	0.001917835	
4.69692	0.04617124	0.001904037	
4.69746	0.04617227	0.001904037	
4.698	0.0461733	0.001910936	
4.69854	0.04617433	0.001897138	
4.69908	0.04617535	0.001897138	
4.69962	0.04617637	0.001883341	
4.70016	0.04617739	0.00189024	
4.7007	0.04617841	0.00189024	
4.70124	0.04617942	0.001876442	
4.70178	0.04618044	0.001876442	
4.70232	0.04618144	0.001862645	
4.70286	0.04618245	0.001869544	
4.7034	0.04618346	0.001869544	
4.70394	0.04618446	0.001848848	
4.70448	0.04618547	0.001862645	
4.70502	0.04618647	0.001848848	
4.70556	0.04618746	0.001841949	
4.7061	0.04618846	0.001848848	
4.70664	0.04618945	0.001841949	
4.70718	0.04619044	0.00183505	
4.70772	0.04619144	0.00183505	
4.70826	0.04619242	0.001821253	
4.7088	0.0461934	0.001821253	
4.70934	0.04619439	0.001821253	
4.70988	0.04619537	0.001814354	
4.71042	0.04619634	0.001807456	
4.71096	0.04619732	0.001814354	
4.7115	0.04619829	0.001800557	
4.71204	0.04619927	0.001807456	
4.71258	0.04620024	0.001793658	
4.71312	0.04620121	0.001793658	
4.71366	0.04620217	0.001786759	
4.7142	0.04620314	0.001786759	
4.71474	0.0462041	0.001786759	
4.71528	0.04620505	0.001766063	
4.71582	0.04620602	0.001779861	
4.71636	0.04620697	0.001772962	
4.7169	0.04620793	0.001766063	
4.71744	0.04620888	0.001759165	
4.71798	0.04620982	0.001752266	
4.71852	0.04621078	0.001766063	
4.71906	0.04621172	0.001738469	
4.7196	0.04621267	0.001759165	
4.72014	0.0462136	0.001738469	
4.72068	0.04621454	0.001738469	
4.72122	0.04621548	0.001738469	
4.72176	0.04621642	0.00173157	
4.7223	0.04621735	0.001724671	
4.72284	0.04621828	0.001717773	
4.72338	0.04621921	0.001724671	
4.72392	0.04622013	0.001717773	
4.72446	0.04622106	0.001710874	
